,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.9564,1.1556,0.7953
BMClab,0.5594,,0.8,0.6483
3DGait,0.6659,0.6149,,0.6929
T-SDU-PD,0.6324,0.697,0.8778,
