,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.1644,0.1629,0.1844
BMClab,0.2936,,0.256,0.457
3DGait,0.2438,0.2808,,0.3228
T-SDU-PD,0.2432,0.3161,0.2107,
