,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.1893,0.0865,0.3075
BMClab,0.4054,,0.3212,0.4598
3DGait,0.31,0.4196,,0.282
T-SDU-PD,0.3849,0.3596,0.2342,
