,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.2426,0.2,0.4357
BMClab,0.5212,,0.3222,0.4672
3DGait,0.3918,0.5045,,0.3701
T-SDU-PD,0.4888,0.4352,0.3,
