,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.2179,0.0612,0.0572
BMClab,0.401,,0.2818,0.3581
3DGait,0.3012,0.2888,,0.1879
T-SDU-PD,0.2145,0.1737,0.3002,
