,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.2192,0.1061,0.2459
BMClab,0.3915,,0.3413,0.457
3DGait,0.2549,0.3744,,0.3228
T-SDU-PD,0.3242,0.3161,0.281,
