,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.5539,0.3258,0.3239
BMClab,0.6199,,0.3029,0.325
3DGait,0.3974,0.3903,,0.3944
T-SDU-PD,0.3499,0.2409,0.4412,
