,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.2574,0.1314,0.2331
BMClab,0.4377,,0.3748,0.3901
3DGait,0.3324,0.4522,,0.2946
T-SDU-PD,0.2999,0.4089,0.3046,
