,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.3294,0.0001,0.2543
BMClab,0.0165,,0.0285,0.0544
3DGait,0.0384,0.2719,,0.2721
T-SDU-PD,0.0133,0.4428,0.1374,
