,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.2978,0.2222,0.4147
BMClab,0.51,,0.3556,0.4147
3DGait,0.4476,0.4763,,0.3255
T-SDU-PD,0.4818,0.457,0.3222,
