,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.193,0.2301,0.1748
BMClab,0.3283,,0.2811,0.3901
3DGait,0.3241,0.4522,,0.221
T-SDU-PD,0.2249,0.4089,0.2284,
