,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.2185,0.1604,0.2949
BMClab,0.4764,,0.3474,0.4107
3DGait,0.4137,0.4619,,0.2942
T-SDU-PD,0.352,0.4373,0.3048,
