,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.0555,0.0047,0.1065
BMClab,0.1366,,0.0956,-0.0119
3DGait,0.0548,0.1638,,0.2201
T-SDU-PD,0.1254,0.3916,0.064,
