,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,1.1836,1.2333,0.8635
BMClab,0.7159,,1.1,1.1286
3DGait,0.8959,0.9012,,0.7717
T-SDU-PD,0.6929,0.5148,0.7889,
