,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.2105,0.3447,0.2176
BMClab,0.1999,,0.2641,0.2006
3DGait,0.3903,0.5162,,0.3312
T-SDU-PD,0.3134,0.4216,0.372,
