,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.0762,0.1312,0.2945
BMClab,-0.0162,,0.3412,0.0064
3DGait,0.4018,0.3852,,0.1729
T-SDU-PD,0.1212,0.1602,0.3839,
