,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.1769,0.3683,0.228
BMClab,0.1894,,0.3236,0.1981
3DGait,0.5009,0.5344,,0.2958
T-SDU-PD,0.3227,0.4389,0.3525,
