,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.2105,0.2585,0.2176
BMClab,0.1499,,0.1981,0.2006
3DGait,0.4349,0.3872,,0.2484
T-SDU-PD,0.2351,0.4216,0.279,
