,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,1.285,1.2222,0.7297
BMClab,0.7953,,0.7556,1.063
3DGait,0.5912,0.5944,,0.8556
T-SDU-PD,1.34,0.8896,0.6778,
