,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.2542,0.4556,0.3228
BMClab,0.2247,,0.4444,0.3123
3DGait,0.5406,0.5507,,0.3596
T-SDU-PD,0.3776,0.4249,0.3778,
