encoder,PD-GaM,BMClab,3DGait,T-SDU-PD
MixSTE,0.39,0.373,0.15,0.307
MotionAGFormer,0.407,0.383,0.12,0.317
MotionBERT,0.387,0.407,0.117,0.287
PoseFormerV2,0.43,0.373,0.17,0.247
POTR,0.35,0.297,0.313,0.327
MoMask,0.373,0.56,0.397,0.36
MotionCLIP,0.413,0.35,0.183,0.283
GaitFeatures+RF,0.32,0.343,0.387,0.287
Mean (7 encoders),0.393,0.392,0.207,0.304
