,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.4377,0.3,0.4698
BMClab,0.5088,,0.4444,0.4698
3DGait,0.48,0.466,,0.3701
T-SDU-PD,0.4618,0.475,0.4444,
