,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.5327,0.7222,1.0105
BMClab,0.7253,,0.8556,0.8294
3DGait,0.6024,0.5854,,0.7795
T-SDU-PD,2.2747,0.7574,1.0,
