,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.3893,0.2251,0.4051
BMClab,0.3724,,0.4253,0.4553
3DGait,0.4407,0.474,,0.3337
T-SDU-PD,0.295,0.4821,0.4444,
