,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.3807,0.3138,0.3882
BMClab,0.3742,,0.4768,0.4418
3DGait,0.3478,0.465,,0.3603
T-SDU-PD,0.2188,0.4649,0.4573,
