,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.3807,0.2353,0.3882
BMClab,0.2806,,0.3576,0.4418
3DGait,0.3534,0.3487,,0.2702
T-SDU-PD,0.1641,0.4649,0.3429,
