,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.3392,0.331,0.0839
BMClab,0.0,,0.1556,0.1868
3DGait,0.3557,0.4531,,0.253
T-SDU-PD,0.0,0.162,0.1337,
