method,PD-GaM,BMClab,3DGait,T-SDU-PD
VideoMAE,0.617,0.581,0.542,0.412
DINOv2,0.631,0.553,0.357,0.369
V-JEPA 2,0.616,0.579,0.439,0.417
Care-PD mean (7 enc.),0.631,0.597,0.331,0.404
Care-PD MoMask,0.64,0.57,0.35,0.54
