,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.1302,0.2361,0.4542
BMClab,0.3872,,0.5275,0.3781
3DGait,0.5368,0.5395,,0.3123
T-SDU-PD,0.4294,0.4614,0.421,
