,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.1701,0.2099,0.4383
BMClab,0.2596,,0.412,0.4028
3DGait,0.4674,0.3934,,0.262
T-SDU-PD,0.3108,0.4437,0.3337,
