,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.2697,0.4401,0.3457
BMClab,0.3616,,0.4834,0.2909
3DGait,0.6075,0.5361,,0.3762
T-SDU-PD,0.2697,0.2743,0.2304,
