,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,1.1926,0.8111,0.6535
BMClab,0.7206,,0.7222,0.895
3DGait,0.5424,0.4685,,0.7795
T-SDU-PD,0.6765,0.7689,0.7222,
