,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.072,0.277,0.2941
BMClab,0.3045,,0.3602,0.2908
3DGait,0.389,0.4681,,0.2445
T-SDU-PD,0.1564,0.1706,0.2269,
