,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.1701,0.2799,0.4383
BMClab,0.3462,,0.5493,0.4028
3DGait,0.4175,0.5246,,0.3493
T-SDU-PD,0.4144,0.4437,0.445,
