,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.2349,0.2667,0.4672
BMClab,0.4788,,0.5444,0.4094
3DGait,0.5765,0.5738,,0.3727
T-SDU-PD,0.4253,0.4647,0.4333,
