protocol,model,dataset,UPDRS_class,N_true,N_pred,N_correct,recall,precision,F1,bias_ratio
CDA,V-JEPA 2,T-SDU-PD,2,501,244,139,0.2774,0.5697,0.3732,0.487
CDA,V-JEPA 2,T-SDU-PD,3,0,8,0,,0.0,,
CDA,V-JEPA 2,PD-GaM,0,2349,2700,1545,0.6577,0.5722,0.612,1.1494
CDA,V-JEPA 2,PD-GaM,1,1905,1802,780,0.4094,0.4329,0.4208,0.9459
CDA,V-JEPA 2,PD-GaM,2,744,525,159,0.2137,0.3029,0.2506,0.7056
CDA,V-JEPA 2,PD-GaM,3,102,73,33,0.3235,0.4521,0.3771,0.7157
CDA,V-JEPA 2,ALL (pooled),0,3732,3980,2238,0.5997,0.5623,0.5804,1.0665
CDA,V-JEPA 2,ALL (pooled),1,3213,2685,1160,0.361,0.432,0.3934,0.8357
CDA,V-JEPA 2,ALL (pooled),2,1773,2093,666,0.3756,0.3182,0.3445,1.1805
CDA,V-JEPA 2,ALL (pooled),3,132,92,33,0.25,0.3587,0.2946,0.697
