protocol,model,true_UPDRS,pred_UPDRS,count
LODO,DINOv2 (BiLSTM),3,0,1
LODO,DINOv2 (BiLSTM),3,1,0
LODO,DINOv2 (BiLSTM),3,2,29
LODO,DINOv2 (BiLSTM),3,3,14
LODO,V-JEPA,0,0,590
LODO,V-JEPA,0,1,558
LODO,V-JEPA,0,2,38
LODO,V-JEPA,0,3,58
LODO,V-JEPA,1,0,325
LODO,V-JEPA,1,1,629
LODO,V-JEPA,1,2,87
LODO,V-JEPA,1,3,30
LODO,V-JEPA,2,0,117
LODO,V-JEPA,2,1,279
LODO,V-JEPA,2,2,123
LODO,V-JEPA,2,3,72
LODO,V-JEPA,3,0,2
LODO,V-JEPA,3,1,12
LODO,V-JEPA,3,2,10
LODO,V-JEPA,3,3,20
LODO,V-JEPA 2,0,0,610
LODO,V-JEPA 2,0,1,395
LODO,V-JEPA 2,0,2,201
LODO,V-JEPA 2,0,3,38
LODO,V-JEPA 2,1,0,351
LODO,V-JEPA 2,1,1,490
LODO,V-JEPA 2,1,2,212
LODO,V-JEPA 2,1,3,18
LODO,V-JEPA 2,2,0,131
LODO,V-JEPA 2,2,1,249
LODO,V-JEPA 2,2,2,159
LODO,V-JEPA 2,2,3,52
LODO,V-JEPA 2,3,0,1
LODO,V-JEPA 2,3,1,8
LODO,V-JEPA 2,3,2,15
LODO,V-JEPA 2,3,3,20
CDA,VideoMAE,0,0,1846
CDA,VideoMAE,0,1,1295
CDA,VideoMAE,0,2,591
CDA,VideoMAE,0,3,0
CDA,VideoMAE,1,0,1132
CDA,VideoMAE,1,1,1448
CDA,VideoMAE,1,2,632
CDA,VideoMAE,1,3,1
CDA,VideoMAE,2,0,314
CDA,VideoMAE,2,1,796
CDA,VideoMAE,2,2,589
CDA,VideoMAE,2,3,74
CDA,VideoMAE,3,0,2
CDA,VideoMAE,3,1,31
CDA,VideoMAE,3,2,68
CDA,VideoMAE,3,3,31
CDA,DINOv2 (BiLSTM),0,0,2402
CDA,DINOv2 (BiLSTM),0,1,990
CDA,DINOv2 (BiLSTM),0,2,322
CDA,DINOv2 (BiLSTM),0,3,18
CDA,DINOv2 (BiLSTM),1,0,1754
CDA,DINOv2 (BiLSTM),1,1,888
CDA,DINOv2 (BiLSTM),1,2,519
CDA,DINOv2 (BiLSTM),1,3,52
CDA,DINOv2 (BiLSTM),2,0,543
CDA,DINOv2 (BiLSTM),2,1,594
CDA,DINOv2 (BiLSTM),2,2,551
CDA,DINOv2 (BiLSTM),2,3,85
CDA,DINOv2 (BiLSTM),3,0,13
CDA,DINOv2 (BiLSTM),3,1,28
CDA,DINOv2 (BiLSTM),3,2,69
CDA,DINOv2 (BiLSTM),3,3,22
CDA,V-JEPA,0,0,2652
CDA,V-JEPA,0,1,780
CDA,V-JEPA,0,2,289
CDA,V-JEPA,0,3,11
CDA,V-JEPA,1,0,1860
CDA,V-JEPA,1,1,851
CDA,V-JEPA,1,2,491
CDA,V-JEPA,1,3,11
CDA,V-JEPA,2,0,657
CDA,V-JEPA,2,1,406
CDA,V-JEPA,2,2,618
CDA,V-JEPA,2,3,92
CDA,V-JEPA,3,0,33
CDA,V-JEPA,3,1,14
CDA,V-JEPA,3,2,60
CDA,V-JEPA,3,3,25
CDA,V-JEPA 2,0,0,2238
CDA,V-JEPA 2,0,1,841
CDA,V-JEPA 2,0,2,652
CDA,V-JEPA 2,0,3,1
CDA,V-JEPA 2,1,0,1324
CDA,V-JEPA 2,1,1,1160
CDA,V-JEPA 2,1,2,726
CDA,V-JEPA 2,1,3,3
CDA,V-JEPA 2,2,0,401
CDA,V-JEPA 2,2,1,651
CDA,V-JEPA 2,2,2,666
CDA,V-JEPA 2,2,3,55
CDA,V-JEPA 2,3,0,17
CDA,V-JEPA 2,3,1,33
CDA,V-JEPA 2,3,2,49
CDA,V-JEPA 2,3,3,33
