protocol,model,true_UPDRS,pred_UPDRS,count,row_%,correct
MIDA,V-JEPA 2,2,0,100,16.9,False
MIDA,V-JEPA 2,2,1,200,33.8,False
MIDA,V-JEPA 2,2,2,289,48.9,True
MIDA,V-JEPA 2,2,3,2,0.3,False
MIDA,V-JEPA 2,3,0,1,2.3,False
MIDA,V-JEPA 2,3,1,3,6.8,False
MIDA,V-JEPA 2,3,2,17,38.6,False
MIDA,V-JEPA 2,3,3,23,52.3,True
LODO,VideoMAE,0,0,258,20.7,True
LODO,VideoMAE,0,1,882,70.9,False
LODO,VideoMAE,0,2,102,8.2,False
LODO,VideoMAE,0,3,2,0.2,False
LODO,VideoMAE,1,0,135,12.6,False
LODO,VideoMAE,1,1,813,75.9,True
LODO,VideoMAE,1,2,118,11.0,False
LODO,VideoMAE,1,3,5,0.5,False
LODO,VideoMAE,2,0,95,16.1,False
LODO,VideoMAE,2,1,312,52.8,False
LODO,VideoMAE,2,2,114,19.3,True
LODO,VideoMAE,2,3,70,11.8,False
LODO,VideoMAE,3,0,0,0.0,False
LODO,VideoMAE,3,1,2,4.5,False
LODO,VideoMAE,3,2,18,40.9,False
LODO,VideoMAE,3,3,24,54.5,True
LODO,DINOv2 (BiLSTM),0,0,877,70.5,True
LODO,DINOv2 (BiLSTM),0,1,354,28.5,False
LODO,DINOv2 (BiLSTM),0,2,13,1.0,False
LODO,DINOv2 (BiLSTM),0,3,0,0.0,False
LODO,DINOv2 (BiLSTM),1,0,641,59.9,False
LODO,DINOv2 (BiLSTM),1,1,315,29.4,True
LODO,DINOv2 (BiLSTM),1,2,113,10.6,False
LODO,DINOv2 (BiLSTM),1,3,2,0.2,False
LODO,DINOv2 (BiLSTM),2,0,176,29.8,False
LODO,DINOv2 (BiLSTM),2,1,160,27.1,False
LODO,DINOv2 (BiLSTM),2,2,241,40.8,True
LODO,DINOv2 (BiLSTM),2,3,14,2.4,False
LODO,DINOv2 (BiLSTM),3,0,1,2.3,False
LODO,DINOv2 (BiLSTM),3,1,0,0.0,False
LODO,DINOv2 (BiLSTM),3,2,29,65.9,False
LODO,DINOv2 (BiLSTM),3,3,14,31.8,True
LODO,V-JEPA,0,0,590,47.4,True
LODO,V-JEPA,0,1,558,44.9,False
LODO,V-JEPA,0,2,38,3.1,False
LODO,V-JEPA,0,3,58,4.7,False
LODO,V-JEPA,1,0,325,30.3,False
LODO,V-JEPA,1,1,629,58.7,True
LODO,V-JEPA,1,2,87,8.1,False
LODO,V-JEPA,1,3,30,2.8,False
LODO,V-JEPA,2,0,117,19.8,False
LODO,V-JEPA,2,1,279,47.2,False
LODO,V-JEPA,2,2,123,20.8,True
LODO,V-JEPA,2,3,72,12.2,False
LODO,V-JEPA,3,0,2,4.5,False
LODO,V-JEPA,3,1,12,27.3,False
LODO,V-JEPA,3,2,10,22.7,False
LODO,V-JEPA,3,3,20,45.5,True
LODO,V-JEPA 2,0,0,610,49.0,True
LODO,V-JEPA 2,0,1,395,31.8,False
LODO,V-JEPA 2,0,2,201,16.2,False
LODO,V-JEPA 2,0,3,38,3.1,False
LODO,V-JEPA 2,1,0,351,32.8,False
LODO,V-JEPA 2,1,1,490,45.8,True
LODO,V-JEPA 2,1,2,212,19.8,False
LODO,V-JEPA 2,1,3,18,1.7,False
LODO,V-JEPA 2,2,0,131,22.2,False
LODO,V-JEPA 2,2,1,249,42.1,False
LODO,V-JEPA 2,2,2,159,26.9,True
LODO,V-JEPA 2,2,3,52,8.8,False
LODO,V-JEPA 2,3,0,1,2.3,False
LODO,V-JEPA 2,3,1,8,18.2,False
LODO,V-JEPA 2,3,2,15,34.1,False
LODO,V-JEPA 2,3,3,20,45.5,True
CDA,VideoMAE,0,0,1846,49.5,True
CDA,VideoMAE,0,1,1295,34.7,False
CDA,VideoMAE,0,2,591,15.8,False
CDA,VideoMAE,0,3,0,0.0,False
CDA,VideoMAE,1,0,1132,35.2,False
CDA,VideoMAE,1,1,1448,45.1,True
CDA,VideoMAE,1,2,632,19.7,False
CDA,VideoMAE,1,3,1,0.0,False
CDA,VideoMAE,2,0,314,17.7,False
CDA,VideoMAE,2,1,796,44.9,False
CDA,VideoMAE,2,2,589,33.2,True
CDA,VideoMAE,2,3,74,4.2,False
CDA,VideoMAE,3,0,2,1.5,False
CDA,VideoMAE,3,1,31,23.5,False
CDA,VideoMAE,3,2,68,51.5,False
CDA,VideoMAE,3,3,31,23.5,True
CDA,DINOv2 (BiLSTM),0,0,2402,64.4,True
CDA,DINOv2 (BiLSTM),0,1,990,26.5,False
CDA,DINOv2 (BiLSTM),0,2,322,8.6,False
CDA,DINOv2 (BiLSTM),0,3,18,0.5,False
CDA,DINOv2 (BiLSTM),1,0,1754,54.6,False
CDA,DINOv2 (BiLSTM),1,1,888,27.6,True
CDA,DINOv2 (BiLSTM),1,2,519,16.2,False
CDA,DINOv2 (BiLSTM),1,3,52,1.6,False
CDA,DINOv2 (BiLSTM),2,0,543,30.6,False
CDA,DINOv2 (BiLSTM),2,1,594,33.5,False
CDA,DINOv2 (BiLSTM),2,2,551,31.1,True
CDA,DINOv2 (BiLSTM),2,3,85,4.8,False
CDA,DINOv2 (BiLSTM),3,0,13,9.8,False
CDA,DINOv2 (BiLSTM),3,1,28,21.2,False
CDA,DINOv2 (BiLSTM),3,2,69,52.3,False
CDA,DINOv2 (BiLSTM),3,3,22,16.7,True
CDA,V-JEPA,0,0,2652,71.1,True
CDA,V-JEPA,0,1,780,20.9,False
CDA,V-JEPA,0,2,289,7.7,False
CDA,V-JEPA,0,3,11,0.3,False
CDA,V-JEPA,1,0,1860,57.9,False
CDA,V-JEPA,1,1,851,26.5,True
CDA,V-JEPA,1,2,491,15.3,False
CDA,V-JEPA,1,3,11,0.3,False
CDA,V-JEPA,2,0,657,37.1,False
CDA,V-JEPA,2,1,406,22.9,False
CDA,V-JEPA,2,2,618,34.9,True
CDA,V-JEPA,2,3,92,5.2,False
CDA,V-JEPA,3,0,33,25.0,False
CDA,V-JEPA,3,1,14,10.6,False
CDA,V-JEPA,3,2,60,45.5,False
CDA,V-JEPA,3,3,25,18.9,True
CDA,V-JEPA 2,0,0,2238,60.0,True
CDA,V-JEPA 2,0,1,841,22.5,False
CDA,V-JEPA 2,0,2,652,17.5,False
CDA,V-JEPA 2,0,3,1,0.0,False
CDA,V-JEPA 2,1,0,1324,41.2,False
CDA,V-JEPA 2,1,1,1160,36.1,True
CDA,V-JEPA 2,1,2,726,22.6,False
CDA,V-JEPA 2,1,3,3,0.1,False
CDA,V-JEPA 2,2,0,401,22.6,False
CDA,V-JEPA 2,2,1,651,36.7,False
CDA,V-JEPA 2,2,2,666,37.6,True
CDA,V-JEPA 2,2,3,55,3.1,False
CDA,V-JEPA 2,3,0,17,12.9,False
CDA,V-JEPA 2,3,1,33,25.0,False
CDA,V-JEPA 2,3,2,49,37.1,False
CDA,V-JEPA 2,3,3,33,25.0,True
