,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.4095,0.4333,0.3438
BMClab,0.5247,,0.5,0.5118
3DGait,0.4712,0.5417,,0.336
T-SDU-PD,0.3324,0.4429,0.3556,
