,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.2827,0.4026,0.2483
BMClab,0.471,,0.4976,0.4989
3DGait,0.4208,0.5231,,0.2559
T-SDU-PD,0.2534,0.4611,0.336,
