,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.6508,0.8222,1.0814
BMClab,0.7047,,0.8444,0.8898
3DGait,0.6076,0.4827,,0.8766
T-SDU-PD,0.9035,0.8241,0.9444,
