,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.3257,0.3847,0.2753
BMClab,0.4525,,0.5438,0.4803
3DGait,0.3185,0.4791,,0.3
T-SDU-PD,0.28,0.4351,0.3346,
