,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.3257,0.2885,0.2753
BMClab,0.3394,,0.4079,0.4803
3DGait,0.3954,0.3593,,0.225
T-SDU-PD,0.21,0.4351,0.251,
