,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.1615,0.3432,0.0632
BMClab,0.1809,,0.352,0.2537
3DGait,0.3552,0.4962,,0.1485
T-SDU-PD,0.2808,0.147,-0.0559,
