,PD-GaM,BMClab,3DGait,T-SDU-PD
PD-GaM,,0.2411,0.6132,0.2301
BMClab,0.1301,,0.3761,0.3359
3DGait,0.3305,0.5191,,0.2126
T-SDU-PD,0.4583,0.2425,0.1245,
